_id,email,name,active,role
68c7c00fc888603bfba09985,0033@su.edu,Morgan Reyes,True,teacher
68c7c011c888603bfba09989,0037@su.edu,Zoey Salazar,True,teacher
68c7c011c888603bfba0998a,0038@su.edu,Reese Castillo,True,teacher
68c7c012c888603bfba0998e,0039@su.edu,Scarlett Ramos,True,teacher
68c7c013c888603bfba0998f,0040@su.edu,Ethan Zamora,True,teacher
68ca127f3cf72d2806fa3ad1,t0012@su.edu,Isla Cruz,True,teacher
68ca127f3cf72d2806fa3ad2,t0003@su.edu,Zoey DelosReyes,True,teacher
68ca127f3cf72d2806fa3ad3,t0001@su.edu,Lucas Santos,True,teacher
68ca12803cf72d2806fa3ad4,t0006@su.edu,Lucas Yap,True,teacher
68ca12803cf72d2806fa3ad5,t0013@su.edu,Reese Mendoza,True,teacher
68ca12803cf72d2806fa3ad6,t0014@su.edu,Mia DelosReyes,True,teacher
68ca12813cf72d2806fa3ad7,t0015@su.edu,Sofia Bautista,True,teacher
68ca12813cf72d2806fa3ad8,t0016@su.edu,Riley Panganiban,True,teacher
68ca12813cf72d2806fa3ad9,t0017@su.edu,Mia Rivera,True,teacher
68ca12823cf72d2806fa3ada,t0018@su.edu,Mateo DelosReyes,True,teacher
68ca12823cf72d2806fa3adb,t0019@su.edu,Riley Cruz,True,teacher
68ca12823cf72d2806fa3adc,t0020@su.edu,Santiago Navarro,True,teacher
68ca12823cf72d2806fa3add,t0021@su.edu,Noah Reyes,True,teacher
68ca12833cf72d2806fa3ade,t0022@su.edu,Lucas Castro,True,teacher
68ca12833cf72d2806fa3adf,t0023@su.edu,Isla Flores,True,teacher
68ca12833cf72d2806fa3ae0,t0024@su.edu,Zoey Reyes,True,teacher
68ca12843cf72d2806fa3ae1,t0025@su.edu,Liam Santos,True,teacher
68ca12843cf72d2806fa3ae2,t0002@su.edu,Riley Guerrero,True,teacher
68ca12843cf72d2806fa3ae3,t0009@su.edu,Elijah Guerrero,True,teacher
68ca12853cf72d2806fa3ae4,t0028@su.edu,Chloe Morales,True,teacher
68ca12853cf72d2806fa3ae5,t0004@su.edu,Amelia Mendoza,True,teacher
68ca12853cf72d2806fa3ae7,t0026@su.edu,Lucas Santiago,True,teacher
68ca12853cf72d2806fa3ae8,t0011@su.edu,Amelia Cruz,True,teacher
68ca12863cf72d2806fa3ae9,t0027@su.edu,Isla Garcia,True,teacher
68ca12863cf72d2806fa3aea,t0007@su.edu,Noah Navarro,True,teacher
68ca12863cf72d2806fa3aeb,t0005@su.edu,Ethan Cruz,True,teacher
68ca12873cf72d2806fa3aec,t0008@su.edu,Lucas Santos,True,teacher
68ca12873cf72d2806fa3aed,t0010@su.edu,Layla Santiago,True,teacher
68ca12873cf72d2806fa3aee,t0029@su.edu,Chloe DelosReyes,True,teacher
68ca12883cf72d2806fa3aef,t0031@su.edu,Lucas Bautista,True,teacher
68ca12883cf72d2806fa3af0,t0030@su.edu,Sofia Garcia,True,teacher
68ca12883cf72d2806fa3af1,t0032@su.edu,Santiago Rivera,True,teacher
68ca12893cf72d2806fa3af2,t0033@su.edu,Santiago Cruz,True,teacher
68ca12893cf72d2806fa3af3,t0034@su.edu,Elijah Santiago,True,teacher
68ca12893cf72d2806fa3af4,t0035@su.edu,Amelia Navarro,True,teacher
68ca12893cf72d2806fa3af5,t0037@su.edu,Jamie Garcia,True,teacher
68ca128a3cf72d2806fa3af6,t0036@su.edu,Sofia DelosReyes,True,teacher
68ca128a3cf72d2806fa3af7,t0039@su.edu,Liam Castro,True,teacher
68ca128a3cf72d2806fa3af8,t0040@su.edu,Reese Flores,True,teacher
68ca128b3cf72d2806fa3af9,t0043@su.edu,Mateo DelosReyes,True,teacher
68ca128b3cf72d2806fa3afa,t0045@su.edu,Mia Flores,True,teacher
68ca128b3cf72d2806fa3afb,t0041@su.edu,Evelyn Castro,True,teacher
68ca128c3cf72d2806fa3afc,t0044@su.edu,Layla DelosReyes,True,teacher
68ca128c3cf72d2806fa3afd,t0042@su.edu,Mia Gonzales,True,teacher
68ca128c3cf72d2806fa3afe,t0047@su.edu,Jamie DelosReyes,True,teacher
68ca128c3cf72d2806fa3aff,t0049@su.edu,Lucas Ramos,True,teacher
68ca128d3cf72d2806fa3b00,t0038@su.edu,Reese Cruz,True,teacher
68ca128d3cf72d2806fa3b01,t0048@su.edu,Layla Garcia,True,teacher
68ca128d3cf72d2806fa3b02,t0051@su.edu,Zoey Santiago,True,teacher
68ca128e3cf72d2806fa3b03,t0046@su.edu,Elijah Garcia,True,teacher
68ca128e3cf72d2806fa3b04,t0050@su.edu,Lucas Garcia,True,teacher
68ca128e3cf72d2806fa3b05,t0052@su.edu,Morgan DelosReyes,True,teacher
68ca128f3cf72d2806fa3b06,t0053@su.edu,Liam DelosReyes,True,teacher
68ca128f3cf72d2806fa3b07,t0054@su.edu,Reese Reyes,True,teacher
68ca128f3cf72d2806fa3b08,t0057@su.edu,Chloe Ramos,True,teacher
68ca12903cf72d2806fa3b09,t0055@su.edu,Riley Bautista,True,teacher
68ca12903cf72d2806fa3b0a,t0056@su.edu,Liam Morales,True,teacher
68ca12903cf72d2806fa3b0b,t0060@su.edu,Isla Yap,True,teacher
68ca12903cf72d2806fa3b0c,t0058@su.edu,Elijah DelosReyes,True,teacher
68ca12913cf72d2806fa3b0d,t0059@su.edu,Mia Reyes,True,teacher
